Sender_ID,Receiver_ID,Message,Time
123,0,6,2024-03-09 18:56:32
456,0,6,2024-03-09 18:57:11
123,0,6,2024-03-09 19:01:09
456,0,6,2024-03-09 19:03:55
123,0,6,2024-03-09 19:04:30
456,0,6,2024-03-09 19:04:58
456,0,6,2024-03-09 19:05:03
456,0,666,2024-03-09 19:05:07
456,0,666,2024-03-09 19:06:26
123,0,666,2024-03-09 19:06:31
123,0,6,2024-03-09 19:06:36
456,0,666,2024-03-09 19:06:43
456,0,6,2024-03-09 19:07:09
456,0,6,2024-03-09 19:07:12
456,0,666,2024-03-09 19:07:15
456,0,6666666,2024-03-09 19:07:19
456,0,66666666666666666666666666666,2024-03-09 19:07:25
123,0,6,2024-03-09 19:09:12
456,0,6,2024-03-09 19:09:58
123,0,666,2024-03-09 19:14:18
456,0,6,2024-03-09 19:14:35
456,0,nanbeng,2024-03-09 19:14:40
123,0,shua,2024-03-09 19:14:45
123,0,???,2024-03-09 19:16:18
456,0,shubuchulai,2024-03-09 19:16:26
123,0,nitian,2024-03-09 19:16:30
123,0,renne,2024-03-09 19:17:55
456,0,aaa,2024-03-09 19:18:15
123,0,aaa,2024-03-09 19:20:41
456,0,6,2024-03-09 19:27:28
123,0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2024-03-09 19:27:38
456,0,sss,2024-03-09 19:28:25
123,0,666,2024-03-09 19:40:29
123,0,666,2024-03-09 19:43:57
456,0,66,2024-03-09 19:53:19
123,0,666,2024-03-09 19:53:39
123,0,66666,2024-03-09 19:54:22
123,0,6666,2024-03-09 19:54:26
456,0,666,2024-03-09 19:55:22
456,0,666,2024-03-09 19:59:10
123,0,666,2024-03-09 19:59:15
456,0,666,2024-03-09 19:59:20
123,0,666,2024-03-09 19:59:23
123,0,777,2024-03-09 19:59:30
456,0,999,2024-03-09 19:59:34
123,0,777,2024-03-09 19:59:38
456,0,88,2024-03-09 19:59:44
456,0,666,2024-03-09 20:03:17
456,0,4,2024-03-09 20:03:25
456,0,4,2024-03-09 20:03:29
456,0,444,2024-03-09 20:03:32
123,0,666,2024-03-09 20:03:36
123,0,rrr,2024-03-09 20:03:54
123,0,aaa,2024-03-09 20:04:35
456,0,aaa,2024-03-09 20:04:55
123,0,lll,2024-03-09 20:07:30
456,0,666,2024-03-09 20:07:48
123,0,6,2024-03-09 20:10:54
123,0,666,2024-03-09 20:13:47
123,0,6,2024-03-09 20:14:19
123,0,666,2024-03-09 20:16:39
123,0,666,2024-03-09 20:17:07
123,0,111,2024-03-09 20:17:28
123,0,666,2024-03-09 20:19:39
123,0,111,2024-03-09 20:21:04
123,0,666,2024-03-09 20:28:19
456,0,6666,2024-03-09 20:32:47
123,0,sss,2024-03-09 20:32:52
123,0,666,2024-03-09 20:35:55
123,0,6,2024-03-09 20:48:49
123,0,6,2024-03-09 20:48:56
456,0,6,2024-03-09 20:49:00
123,0,6,2024-03-09 20:49:35
456,0,666,2024-03-09 21:01:24
123,0,666,2024-03-09 21:03:49
456,0,66666,2024-03-09 21:04:13
123,0,999,2024-03-09 21:04:34
456,0,666,2024-03-09 21:05:01
123,0,666,2024-03-09 21:04:56
456,0,123,2024-03-09 21:05:13
123,0,tianchai,2024-03-09 21:05:21
456,0,666,2024-03-09 21:07:12
123,0,666,2024-03-09 21:07:17
123,0,666,2024-03-09 21:20:23
456,0,1111,2024-03-09 21:22:33
456,0,sss,2024-03-09 21:36:04
123,0,sss,2024-03-09 21:36:09
456,0,99999,2024-03-09 21:36:13
456,0,666,2024-03-09 21:37:46
123,0,999,2024-03-09 21:37:55
123,0,你好,2024-03-10 16:15:08
123,0,我好,2024-03-10 16:15:19
123,0,大家好,2024-03-10 16:15:22
123,0,你好,2024-03-10 16:23:33
123,0,你好,2024-03-10 16:23:38
123,0,你好,2024-03-10 16:29:50
123,0,你好,2024-03-10 16:34:56
123,0,我好,2024-03-10 16:35:01
123,0,大家好,2024-03-10 16:35:04
123,0,你好,2024-03-10 16:47:34
456,123,@123：你好,2024-03-10 17:18:41
123,0,你好,2024-03-10 17:30:37
123,123,@123：你好,2024-03-10 17:30:51
123,0,你好,2024-03-10 17:31:13
123,456,@456：你好,2024-03-10 17:32:09
123,456,@456：你好,2024-03-10 17:41:18
123,0,你好,2024-03-10 17:41:29
123,456,我 (私聊456)(17:44:46):你好,2024-03-10 17:44:46
456,123,我 (私聊123)(17:45:10):你好啊,2024-03-10 17:45:10
456,234,我 (私聊234)(17:46:23):你好,2024-03-10 17:46:23
123,456,你好,2024-03-10 17:51:26
123,456,(私聊)你好,2024-03-10 17:52:40
123,456,(私聊)你好,2024-03-10 17:53:56
123,456,(私聊)你好,2024-03-10 17:54:07
123,456,(私聊)你好,2024-03-10 17:54:44
123,456,(私聊)你好,2024-03-10 21:23:38
456,123,(私聊)你好,2024-03-10 21:23:46
123,0,你好,2024-03-10 21:25:24
456,0,我好,2024-03-10 21:25:27
123,0,大家好,2024-03-10 21:25:31
123,456,(私聊)你好,2024-03-10 21:25:59
456,123,(私聊)你好,2024-03-10 21:26:00
123,0,你好,2024-03-10 21:26:04
456,0,我好,2024-03-10 21:26:08
123,456,(私聊)你好,2024-03-10 21:28:05
123456,0,你好,2024-03-10 21:44:08
123,0,答,2024-03-10 21:53:20
456,0,你好,2024-03-10 21:54:21
456,123,(私聊)你好,2024-03-10 22:02:38
123,456,(私聊)hushdusd,2024-03-10 22:08:35
123,0,123,2024-03-10 23:25:06
123,456,(私聊)123,2024-03-10 23:25:39
456,0,你好,2024-03-11 08:58:46
123,0,你好,2024-03-11 08:58:54
123,0,你好,2024-03-11 08:59:13
